Observed Water Content,Fitted Water Content,"Suction, h(cm)",SWC_rbf,SWC_quad,SWC_linear
0.35600000000000004,0.364,13.12,0.34685357527123534,0.37167636793006087,0.3569610098138911
0.35200000000000004,0.36200000000000004,13.689,0.3498446152479406,0.3661476674923312,0.35476415551203205
0.359,0.36,14.543,0.3546901185861212,0.3579764623936701,0.3514669436084007
0.359,0.358,15.397,0.35934480358153414,0.3499573374608126,0.34816973170397747
0.354,0.35600000000000004,16.250999999999998,0.3631403625911591,0.34209029270426106,0.344872519800367
0.361,0.353,17.105,0.3654893056615588,0.33437532812534915,0.34157530789602714
0.364,0.348,18.529,0.36501404896624845,0.3218492444429284,0.33607738078668403
0.37200000000000005,0.344,19.668,0.3601002570136378,0.3121345049165968,0.3316798112796133
0.32299999999999995,0.331,22.514,0.3321780910606838,0.28904291977990104,0.32069167886879923
0.308,0.322,24.223000000000003,0.30975409644512436,0.2759882380695362,0.31409339415664195
0.295,0.316,25.361,0.29527237603712597,0.2676330995998057,0.3096996855536531
0.289,0.308,26.785,0.2798067632952106,0.2575585421145732,0.3042017584445392
0.27699999999999997,0.3,28.208000000000002,0.26873902390161164,0.24791345491524808,0.298707692239028
0.26899999999999996,0.29100000000000004,29.631999999999998,0.2625334460070029,0.2386842820095437,0.29320976512970576
0.268,0.27899999999999997,31.625,0.2606904516899006,0.22647736264110296,0.2855149837185452
0.263,0.26899999999999996,33.333,0.2625742036306478,0.216675112324638,0.2789205599104907
0.258,0.257,35.325,0.26451650209091476,0.2060114337302369,0.2712296394034955
0.253,0.244,37.603,0.26219947591737713,0.19483088961657902,0.2624345003900313
0.247,0.22899999999999998,40.45,0.25121144648604,0.18237894017730288,0.251442507074979
0.247,0.21600000000000003,43.012,0.23783082604464958,0.1726183485083075,0.24155087136278255
0.226,0.19899999999999998,46.713,0.22248646741725575,0.16093517748013156,0.22726166614383841
0.215,0.185,50.129,0.2146296038056529,0.15268647155003173,0.214072818527349
0.196,0.168,54.968999999999994,0.2030280839538379,0.14516541227748309,0.1953860438016103
0.18899999999999997,0.162,56.961999999999996,0.19599634015031422,0.14348827432252248,0.18769126239077277
0.18,0.157,58.67,0.18920535812290992,0.14271004139347684,0.18109683858259384
0.177,0.153,60.093,0.1833262798465066,0.14252619697827154,0.17560277237706395
0.175,0.15,61.232,0.17862314273098215,0.14268329332147145,0.17120520287032187
0.174,0.14800000000000002,62.371,0.17398803093366932,0.14311091273872267,0.16680763336357482
0.17300000000000001,0.146,63.225,0.1705658710544905,0.14360898999536156,0.16351042145945768
0.17,0.14400000000000002,64.079,0.1671771758732148,0.14425914742823606,0.16021320955538612
0.16699999999999998,0.142,64.933,0.1637976755907734,0.14506138503728172,0.15691599765130673
0.17300000000000001,0.142,64.933,0.1637976755907734,0.14506138503728172,0.15691599765130673
0.163,0.14,65.78699999999999,0.160393919472517,0.14601570282253956,0.1536187857471805
0.162,0.139,66.072,0.15924594412325027,0.14636802631321294,0.15251842814455904
0.162,0.138,66.641,0.15692693204215152,0.1471221007839783,0.15032157384305944
0.161,0.138,66.926,0.15574879042718562,0.14752517702678214,0.14922121624041715
0.157,0.13699999999999998,67.211,0.15455758606030562,0.14794519066317038,0.14812085863778007
0.158,0.136,67.78,0.15213460921371952,0.14883440791635774,0.1459240043363482
0.156,0.135,68.065,0.15089589692066752,0.1493051743049051,0.14482364673371112
0.154,0.135,68.34899999999999,0.14964322423117712,0.14979113723560694,0.14372715003491632
0.15,0.134,68.634,0.1483666497033711,0.1502957189823122,0.1426267924321959
0.147,0.133,69.203,0.14575565960082715,0.15135377572554676,0.1404299381308578
0.14400000000000002,0.133,69.488,0.1444150010853523,0.1519091102244007,0.13932958052823113
0.14300000000000002,0.132,70.058,0.14166474715254584,0.15307059140336196,0.1371288653228111
0.14,0.131,70.342,0.14025933100343294,0.15367458164263365,0.13603236862410487
0.136,0.13,70.91199999999999,0.13736726259773485,0.15493756832597042,0.13383165341880987
0.133,0.129,71.48100000000001,0.13438601341625825,0.1562659106335957,0.1316347991173728
0.13,0.128,72.05,0.1313137590910204,0.157661765007809,0.12943794481585758
0.12300000000000001,0.127,72.62,0.12815067766943422,0.1591277626989695,0.12723722961059383
0.11900000000000001,0.126,73.189,0.12491626772075547,0.160658759855399,0.1250403753092349
0.11699999999999999,0.126,73.759,0.12161008430741271,0.16226013783870288,0.12283966010387737
0.113,0.125,74.328,0.1182569843157976,0.16392627777693186,0.12064280580241424
0.10800000000000001,0.124,74.89699999999999,0.11486663601537214,0.16565992978201974,0.1184459515009407
0.10400000000000001,0.12300000000000001,75.182,0.11315985780541768,0.16655365558003857,0.11734559389830362
0.106,0.12300000000000001,75.751,0.10974678266040175,0.16838863500963275,0.11514873959693425
0.099,0.121,76.89,0.10296425479144516,0.17226465171562824,0.11075117009017613
0.099,0.12,77.46,0.09963867853471865,0.17430592650215473,0.1085504548849124
0.092,0.11900000000000001,78.598,0.09325222262215482,0.1785839685552331,0.10415674628196529
0.091,0.11800000000000001,79.452,0.08877564595517282,0.18197174724007786,0.10085953437776089
0.08800000000000001,0.11599999999999999,80.876,0.08215520283102586,0.1879589029038193,0.09536160726852197
0.084,0.115,81.73,0.07881974324400481,0.19175234744562544,0.09206439536438009
0.08,0.113,83.15299999999999,0.07455444408003829,0.19841110170113443,0.086570329158848
0.079,0.11199999999999999,84.57700000000001,0.0721570044208628,0.2054972276238508,0.08107240204923401
0.07,0.111,84.861,0.07192425826038383,0.2069610465108714,0.07997590535089766
0.068,0.11,86.0,0.07186011489821374,0.21300077279216043,0.0755783358438478
0.079,0.11,86.285,0.07206713573462148,0.21455434379631552,0.07447797824130449
0.069,0.109,86.854,0.07275288102708809,0.2177066983896351,0.07228112393963299
0.07,0.109,87.708,0.07446864385485955,0.22256470416512442,0.06898391203562654
0.07400000000000001,0.10800000000000001,87.993,0.07522481329130867,0.22421978067246204,0.06788355443314574
0.07,0.10800000000000001,88.56200000000001,0.07700748320442008,0.22757479011654458,0.06568670013141173
0.07,0.10800000000000001,88.56200000000001,0.07700748320442008,0.22757479011654458,0.06568670013141173
0.07,0.107,88.84700000000001,0.07803588648502675,0.22928061937489003,0.06458634252903511
0.07200000000000001,0.107,89.132,0.0791536117348413,0.23100338602847129,0.06348598492636678
0.07,0.107,89.132,0.0791536117348413,0.23100338602847129,0.06348598492636678
